dataset_name,model_name,epochs,train_count,val_count,test_count,train_time_sec,inference_time_sec,val_top1,val_top5,val_macro_ap,test_top1,test_top5,test_macro_ap,final_train_loss,final_val_loss,best_val_loss,params_total,params_trainable,flops,best_epoch,notes
Food-101,sift+svm,1,60000,15000,15000,13150.592117299995,0.031182299993815832,0.11706666666666667,0.3088666666666667,0.06926958299059363,0.11113333333333333,0.298,0.06673175223164025,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=12650.4626; bovw_build_time_sec=427.1719; svm_train_time_sec=72.9573
Food-101,sift+svm,1,60000,15000,15000,13581.849345199997,0.02973710000514984,0.11473333333333334,0.305,0.06938556556329707,0.11246666666666667,0.30373333333333336,0.06685478675672578,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=13044.4685; bovw_build_time_sec=466.9721; svm_train_time_sec=70.4085
Food-101,vit_b_16,30,60000,15000,15000,5905.090179699997,23.931433499994455,0.4228,0.7109333333333333,0.4503057632633288,0.41286666666666666,0.6734,0.4059909978388597,0.16190790960987408,3.904286260732015,2.3500967984517414,85876325,85876325,16866722304,7,deep_model; no_resize=True; batch_padding=True
Food-101,vit_b_16,30,60000,15000,15000,5819.611338699993,22.422532600001432,0.438,0.7122,0.46065073350035396,0.4206,0.6934,0.41831963419563606,0.1426684529185295,3.98741990553538,2.315241250483195,85876325,85876325,16866722304,7,deep_model; no_resize=True; batch_padding=True
Food-101,resnet50,30,60000,15000,15000,3139.1936020999856,19.923099900013767,0.7380666666666666,0.9204666666666667,0.8137232709224018,0.7326666666666667,0.9037333333333334,0.7999005992026433,0.04395599450071653,1.5275340389331182,1.064700054415067,23714981,23714981,4109671424,4,deep_model; no_resize=True; batch_padding=True
Food-101,resnet50,30,60000,15000,15000,3151.809878400003,20.35037299999385,0.7376,0.9178666666666667,0.8133653051979296,0.7234666666666667,0.9016,0.7902402067893085,0.04239232917626699,1.5385910388867061,1.0765378129402796,23714981,23714981,4109671424,5,deep_model; no_resize=True; batch_padding=True
Food-101,resnet50,30,60000,15000,15000,3164.5996510999976,21.134707399993204,0.7422666666666666,0.9176666666666666,0.8103806525688694,0.7339333333333333,0.9062666666666667,0.7971021263498153,0.03989095415274302,1.5695696405967077,1.225088872718811,23714981,23714981,4109671424,9,deep_model; no_resize=True; batch_padding=True
Food-101,hog+svm,1,60000,15000,15000,15571.666707299999,0.3561918000050355,0.06893333333333333,0.2066,0.041154169004283155,0.0672,0.20046666666666665,0.040377605648667096,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=711.3238; svm_train_time_sec=446.3430"
Food-101,hog+svm,1,60000,15000,15000,15204.949517000001,0.3954939000250306,0.0684,0.2016,0.040043722977049716,0.06566666666666666,0.19833333333333333,0.039467504274653446,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=719.0597; svm_train_time_sec=501.8898"
Food-101,vit_b_16,30,60000,15000,15000,5942.749001599994,22.75271710002562,0.448,0.7224,0.47406832489234424,0.4328666666666667,0.6985333333333333,0.4349471403209096,0.1518084306716919,3.810334520848592,2.3854721095403035,85876325,85876325,16866722304,9,deep_model; no_resize=True; batch_padding=True
Food-101,hog+svm,1,60000,15000,15000,15721.847933799991,0.3994752000498733,0.0688,0.2059,0.041219898488872917,0.0673,0.20094666666666668,0.040149797628378693,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=719.0597; svm_train_time_sec=501.8898"
Food-101,sift+svm,1,60000,15000,15000,13701.529785539999,0.03093105799994171,0.11726666666666661,0.307,0.06937937873341752,0.11166666666666663,0.30248666666666668,0.06683219764283712,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=13044.4685; bovw_build_time_sec=466.9721; svm_train_time_sec=70.4085
