dataset_name,model_name,epochs,train_count,val_count,test_count,train_time_sec,inference_time_sec,val_top1,val_top5,val_macro_ap,test_top1,test_top5,test_macro_ap,final_train_loss,final_val_loss,best_val_loss,params_total,params_trainable,flops,best_epoch,notes
Caltech-256,sift+svm,1,18000,6000,6000,1176.7335750999991,0.013758299999608425,0.12216666666666667,0.23933333333333334,0.0343279034684928,0.11616666666666667,0.23133333333333334,0.0370052668822332,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=1061.9220; bovw_build_time_sec=35.8655; svm_train_time_sec=78.9460
Caltech-256,sift+svm,1,18000,6000,6000,1180.5235988999993,0.013258299997687573,0.113,0.2405,0.03585242355244407,0.11533333333333333,0.23133333333333334,0.03534890471428858,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=1060.5358; bovw_build_time_sec=36.3689; svm_train_time_sec=83.6189
Caltech-256,sift+svm,1,18000,6000,6000,1022.8720291999998,0.01628060000075493,0.1165,0.23383333333333334,0.03822463317377329,0.11766666666666667,0.23133333333333334,0.03548314820942133,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=900.5070; bovw_build_time_sec=36.6495; svm_train_time_sec=85.7155
Caltech-256,vit_b_16,30,18000,6000,6000,2242.025726,15.577935400004208,0.30716666666666664,0.5208333333333334,0.26058892355543356,0.2843333333333333,0.4761666666666667,0.22365888332212347,0.1862178001668718,5.460131404876709,3.4423726695378623,85996289,85996289,16866842112,8,deep_model; resize_for_deep_models=224x224
Caltech-256,vit_b_16,30,18000,6000,6000,2249.6011881999875,15.933127200012677,0.30933333333333335,0.502,0.23693328707201763,0.2886666666666667,0.48483333333333334,0.22511644108578108,0.129043394572205,6.160121200561523,5.191373250961304,85996289,85996289,16866842112,16,deep_model; resize_for_deep_models=224x224
Caltech-256,resnet50,30,18000,6000,6000,1436.8504646000074,14.330012600010377,0.7508333333333334,0.9026666666666666,0.8064180775739099,0.7245,0.8875,0.7739123896008819,0.035004999140898385,1.5478630406856537,1.2298526691794396,24034625,24034625,4109990912,9,deep_model; resize_for_deep_models=224x224
Caltech-256,resnet50,30,18000,6000,6000,1437.0383457999997,14.804566999999224,0.7616666666666667,0.9048333333333334,0.813238351367437,0.7405,0.8873333333333333,0.7895521922200031,0.0481842315196991,1.37838870571057,1.1844451150894164,24034625,24034625,4109990912,14,deep_model; resize_for_deep_models=224x224
Caltech-256,vit_b_16,30,18000,6000,6000,2245.6332416000078,15.614610100004938,0.25083333333333335,0.439,0.18877795319679275,0.2395,0.41883333333333334,0.17607709075777914,0.17572624009185367,6.73090873336792,3.811720443725586,85996289,85996289,16866842112,10,deep_model; resize_for_deep_models=224x224
Caltech-256,resnet50,30,18000,6000,6000,1526.086786400003,16.49333939999633,0.7576666666666667,0.9043333333333333,0.8117845822604685,0.7255,0.8855,0.7690599550136128,0.043184686442216236,1.455093175748984,1.165347997089227,24034625,24034625,4109990912,11,deep_model; resize_for_deep_models=224x224
Caltech-256,hog+svm,1,18000,6000,6000,3341.939321699989,0.16388219999498688,0.13233333333333333,0.25966666666666666,0.07899685016855125,0.14333333333333334,0.2735,0.08877033554100716,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=127.3591; svm_train_time_sec=3214.5802"
Caltech-256,hog+svm,1,18000,6000,6000,3610.9207212000038,0.18871709998347796,0.13316666666666666,0.266,0.08459175159270438,0.14683333333333334,0.2811666666666667,0.08382462574439006,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=131.1432; svm_train_time_sec=3479.7775"
Caltech-256,hog+svm,1,18000,6000,6000,3703.114592099999,0.18309840001165867,0.143,0.27116666666666667,0.08142897248991929,0.139,0.26066666666666666,0.08108318166026858,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(224, 224); feature_extraction_time_sec=127.8953; svm_train_time_sec=3575.2193"
